"Rank","AG","CC","EN","MI","MSE","Nabf","PSNR","Qabf","SCD","SD","SF","SSIM","VIF"
"1","6.162546939245373","0.5903884172439575","7.085970309237298","1.5084295200063802","0.12041615427214099","0.02636562931407881","58.44794126353824","0.6312881489560633","1.6762975454330444","46.0434023911231","7.4302949840908115","0.7507690127177905","0.8524712891488386"
"2","6.149542463208483","0.6027417182922363","7.11625635833688","1.5396794323359364","0.13123797885314073","0.039690770972283795","58.02328025589343","0.6263830342669534","1.7411092519760132","48.92624739069922","7.35498082054002","0.7485894195495113","0.7866497713430474"
"3","7.435418776724986","0.608551561832428","7.310511652910168","1.2562215403719845","0.1320158411485086","0.06949278853501434","57.73057640058691","0.580210024699063","1.7705957889556885","53.04253307574898","8.225657801263395","0.7099418659364024","0.7540684236691414"
"4","6.57905100154937","0.5940464735031128","7.17087199954776","1.2240946730743392","0.13843184463757352","0.051310829973755474","57.759882823648546","0.5787725156435917","1.730583906173706","50.34505849753228","7.587651303433764","0.7354378636165332","0.8540163205539093"
"4","6.143111403649838","0.6159310936927795","7.017691675671725","1.0030733159861518","0.11709609059618513","0.027868258122105673","58.70404836733875","0.5880369025446434","1.6998695135116577","43.283144643395026","7.403690696852164","0.7500903914051671","0.8053338839999689"
"6","6.271529758181234","0.6303600072860718","7.238207504688482","1.1532693048125346","0.11857164261160742","0.04216187248874984","58.088390613319746","0.5531881977215336","1.8113429546356201","46.995970125537596","7.706810248161134","0.7335371246901892","0.7754300723297648"
"7","5.169873722589043","0.5927135348320007","6.9601763475538165","1.35105748746747","0.13094865117390955","0.012932824636255728","58.1514648596002","0.6080284743943372","1.6613188982009888","44.44432594449583","6.8174648083231695","0.7692552651128461","0.7929156054669648"
"8","4.914299595971026","0.6372458934783936","6.910567476104358","1.5387933131246792","0.09514347798989593","0.012063661635170574","59.39798752836892","0.5228200781054342","1.7742352485656738","41.84089795711562","6.667158006559127","0.74110530557171","0.737959533023584"
"9","6.506765720152368","0.5973618030548096","7.078102075536329","0.9578288237363731","0.11376825367242713","0.029596602670387287","58.607181922210316","0.6049726115125813","1.537359595298767","42.14193290043765","7.896558763480489","0.7386923009349454","0.7926805063790248"
"10","5.828000275323032","0.5843628644943237","7.0589589714108545","1.936889499610227","0.14949305170151753","0.01726712461524933","57.56654129321676","0.6590458045740624","1.6736069917678833","47.264422718129545","7.210120206363806","0.7481022150285782","0.8634915692591925"
"11","6.3575938201891375","0.592505693435669","7.180518300957363","1.1691483502391933","0.13290728837487403","0.04711688690584064","57.96499319266542","0.577608959347678","1.7643436193466187","50.12316610934158","7.562194175996112","0.7447591648306898","0.7714692981022652"
"12","4.842936355725608","0.5401181578636169","6.902518483720237","1.5643824692226784","0.1096692454075488","0.003834739120744776","58.96666616182697","0.5877126481575018","1.3796758651733398","41.260896149606715","6.46422908063635","0.7694143050460405","0.8828315090874914"
"13","5.923780256114009","0.5933682322502136","7.099794905138748","1.2391802186338559","0.1326388541953351","0.03659911205170306","57.94736783844785","0.5843245477973852","1.7063323259353638","48.501998717243104","7.242475301015118","0.7480972684839721","0.780302101240857"
"14","6.387999203235112","0.5931947231292725","7.155778478543658","1.3047916266600013","0.1445887892646377","0.04923813841691178","57.54515031813125","0.5859772939546617","1.7148704528808594","51.127571008781445","7.49655339205923","0.7364211556732013","0.7721388653896216"
"15","7.04551262783886","0.6305848956108093","7.436793345012944","1.3000048489250593","0.16759315199243785","0.0757987668317805","56.47151180765327","0.5284172492481121","1.9099613428115845","57.49081396635842","8.148021643417241","0.6700556970411732","0.7119214377239635"
"16","6.513199662052852","0.5876827836036682","7.170379890768719","1.2470236970600186","0.14715486520899224","0.05480000771355983","57.54502007347663","0.5815614176331135","1.693901777267456","51.91652521008545","7.50110719778858","0.7335901177057655","0.8631571111316245"
"17","7.049744336765242","0.5872166752815247","7.184229588742996","1.157621337721273","0.14356361505511797","0.06255889766515858","57.66025355698966","0.5602025053972848","1.6911882162094116","51.82036256997743","7.890396939242501","0.7250820372694282","0.8540382160977819"
"18","8.202464342822022","0.6350099444389343","7.421146125770487","1.2031419497253946","0.14273021424152055","0.11432932792242352","56.99594997037856","0.48230572242728953","1.7817879915237427","52.001101269209336","8.781383295113095","0.6310293879560245","0.673033710730611"
"19","6.424488946993964","0.5879759192466736","7.159660130843241","1.257551018561992","0.1501774572717816","0.05539135490303664","57.404803708646256","0.58304254312798","1.6964343786239624","51.96826728659806","7.507842343181411","0.7338066357438282","0.7795742004003351"
"19","5.684335423382688","0.584658682346344","7.072981804785308","1.2003294951690429","0.14347953007706246","0.03522246741338663","57.79807267433477","0.5829375329123268","1.6814427375793457","48.407897123693665","7.051509919602102","0.7571538712388726","0.88224392974984"
"19","6.205101776199786","0.6052509546279907","6.862608691446168","0.8738656276704758","0.09326770519318121","0.028090106455434957","59.42639601600659","0.6077924371873539","1.4908992052078247","37.42514059826925","7.529234909150116","0.7449643970817648","0.704054944810174"
"22","6.424458129752575","0.5879777073860168","7.159649829589646","1.257508529475361","0.15017712181505954","0.0553908888108851","57.404829362385186","0.5830390843515192","1.6964577436447144","51.9680949856292","7.507885580680314","0.7338049411773682","0.7795682758900957"
"23","4.771999341004262","0.5908089876174927","6.890241527916503","1.0971566820089702","0.11090483602658543","0.0008491456999227083","58.94401753974319","0.6103378391972745","1.4840837717056274","39.594737233472365","6.518581972579377","0.7755461700500981","0.7815325128041454"
"24","5.968877970195049","0.5985574722290039","6.904373392523477","0.9679005611038088","0.09483718270354378","0.02181911591546678","59.2949458112107","0.6457885927174426","1.4988646507263184","39.3090119552825","7.375163827929788","0.7356280697289334","0.7702401187566195"
