candidate,path,model,variant,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
crossfuse_01_low03_highdeep_s45_cap,results\candidates_round11_deep\crossfuse_01_low03_highdeep_s45_cap,crossfuse,low03_highdeep_s45_cap,0.00918554666862693,0.5886454689383869,6.96726773570294,2.5115327081433683,0.040220994355848,0.04212500583580745,16.910435088450683,0.422954785887913,1.5138518659963818,0.16237975552838335,0.019800995780264084,0.6548686905573773,0.6047546438481071
crossfuse_02_low03_highdeep_s46,results\candidates_round11_deep\crossfuse_02_low03_highdeep_s46,crossfuse,low03_highdeep_s46,0.010278684042033649,0.5867059238541298,6.979735421866956,2.535788991753915,0.04087991739112523,0.044319875999003326,16.943107157387914,0.44146343777256625,1.5215829699312822,0.16513934947790637,0.02234308063500135,0.6557108764686892,0.6042069873215201
crossfuse_03_low33_highdeep_s45,results\candidates_round11_deep\crossfuse_03_low33_highdeep_s45,crossfuse,low33_highdeep_s45,0.009386089199813463,0.5867607015803098,6.948185277293282,2.5257247495835835,0.03870722074161775,0.039643578241348905,16.94845907782352,0.42547427838848484,1.5083466699123564,0.1586819400069534,0.020277780913093964,0.660508405056692,0.6051601007954869
crossfuse_04_low33_highdeep_s47,results\candidates_round11_deep\crossfuse_04_low33_highdeep_s47,crossfuse,low33_highdeep_s47,0.01129371871150309,0.5831041452203827,6.986488233217151,2.5636598861279913,0.04107770295338004,0.04670818199113171,16.97753082877746,0.4568287217488853,1.5248101124132267,0.16698455506114548,0.024711159557016023,0.6564403876502026,0.6037236097149593
crossfuse_05_mix_anchor_highdeep_s48,results\candidates_round11_deep\crossfuse_05_mix_anchor_highdeep_s48,crossfuse,mix_anchor_highdeep_s48,0.012231105833404487,0.5827704596449096,7.008245074787846,2.5740914080350086,0.04225717563813011,0.05103371384483512,16.95850431361302,0.4708657235868515,1.5337619027884064,0.17124994908289243,0.02687843243435545,0.6539238896421207,0.6031265589054849
crossfuse_06_deep_low_softcap_s46,results\candidates_round11_deep\crossfuse_06_deep_low_softcap_s46,crossfuse,deep_low_softcap_s46,0.008577346726651154,0.562111510441963,6.949468350705905,2.615528801813863,0.042010227244557635,0.041181060946195995,17.074787432721987,0.4091546058013875,1.4261264519538535,0.1633715389236327,0.01852424209969293,0.6537465594949261,0.5937395435713613
crossfuse_07_deep_low_detail_s47,results\candidates_round11_deep\crossfuse_07_deep_low_detail_s47,crossfuse,deep_low_detail_s47,0.009962047815763502,0.5565161499908374,6.972540754738697,2.6521413904808027,0.04354988516969306,0.044058350731007834,17.14494199557948,0.4341608279494829,1.4151228679120913,0.1682261944778504,0.02174290312402854,0.653763484890743,0.5916499303716208
crossfuse_08_std45_gradient_cap,results\candidates_round11_deep\crossfuse_08_std45_gradient_cap,crossfuse,std45_gradient_cap,0.010663443530398992,0.5842804078151844,6.963828519469624,2.553828705781621,0.040747159300872714,0.043546767159295015,17.026024454421698,0.44711997239820417,1.5101576753497203,0.16326008192313615,0.023250470667179408,0.6577026417819403,0.6032765367881914
crossfuse_09_std48_detail_probe,results\candidates_round11_deep\crossfuse_09_std48_detail_probe,crossfuse,std48_detail_probe,0.013330437893909152,0.575369879846842,7.008916787904078,2.620757382553438,0.04335033527940952,0.05503969499340621,17.091814941838514,0.48531048047927117,1.5124972134409829,0.17283649245897928,0.029441165288497533,0.6530871199023339,0.6005627130941752
crossfuse_10_anchor_balanced_s465,results\candidates_round11_deep\crossfuse_10_anchor_balanced_s465,crossfuse,anchor_balanced_s465,0.010152503978260743,0.5871008327757788,6.982825011286982,2.531493510365863,0.04075302341602422,0.04461329405306168,16.921684663544085,0.4390610203307162,1.5274931268118728,0.16575379958075862,0.022053306352550463,0.6548168843471875,0.6046404368335229
