candidate,path,target_group,preset,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
18_B_D_day_vi46_gate18_std450_02,results\candidates_round11_adaptive\18_B_D_day_vi46_gate18_std450_02,DN_D,day_vi_structure,0.009249354036705147,0.5888673478961285,6.91765701887136,2.5064404455672546,0.04046333396071268,0.03515558382396095,17.109404798726683,0.4186656676953839,1.4976314669539454,0.1575253194858951,0.021103023497587546,0.6544950511506809,0.6045191343739829
19_B_D_day_vi46_gate26_std438_03,results\candidates_round11_adaptive\19_B_D_day_vi46_gate26_std438_03,DN_D,day_vi_structure,0.009220653148468143,0.5889103525035249,6.913193981651388,2.505958673519063,0.04039970423991201,0.034976947602004774,17.101206023355427,0.41795942667991887,1.4955431960294552,0.15701670167587137,0.02102692255058542,0.6543400432634098,0.6045542861452484
20_B_D_day_vi46_gate26_std450_04,results\candidates_round11_adaptive\20_B_D_day_vi46_gate26_std450_04,DN_D,day_vi_structure,0.009253086767569986,0.5889065723805571,6.917683626600546,2.506422613166048,0.04046256495865002,0.03513791115694149,17.109317068464183,0.41876462486482435,1.4978353646978082,0.15752548660321902,0.021106633286533217,0.6545772422705928,0.6045508205352126
21_B_D_day_vi54_gate18_std438_05,results\candidates_round11_adaptive\21_B_D_day_vi54_gate18_std438_05,DN_D,day_vi_structure,0.009207391685816229,0.5874493126411925,6.914760963572362,2.513051836654826,0.04055382410735293,0.035033228226326485,17.126220334818157,0.417637477959356,1.4900941035893278,0.15733397495682522,0.020999602857640867,0.6542179977060646,0.6034951510099811
22_B_D_day_vi54_gate18_std450_06,results\candidates_round11_adaptive\22_B_D_day_vi54_gate18_std450_06,DN_D,day_vi_structure,0.009239456981861143,0.5874463061972383,6.918666512650525,2.5134306514037896,0.040617725188513434,0.035186794776749866,17.134759722788225,0.4184150856028321,1.492298334964671,0.15784026770502008,0.021078579241750526,0.6544524243762416,0.6034918142571484
23_B_D_day_vi54_gate26_std438_07,results\candidates_round11_adaptive\23_B_D_day_vi54_gate26_std438_07,DN_D,day_vi_structure,0.009211050486692818,0.5874882320063126,6.91478856213042,2.5129775170022133,0.040553064277065135,0.03501798247578003,17.12613184413515,0.41773331742132863,1.4902994532416398,0.15733418405376454,0.021003179922959046,0.6542987569525678,0.6035265613496598
24_B_D_day_vi54_gate26_std450_08,results\candidates_round11_adaptive\24_B_D_day_vi54_gate26_std450_08,DN_D,day_vi_structure,0.009243152600022094,0.5874850954155445,6.9186941854193265,2.513393743188107,0.0406169480849458,0.03517176401150483,17.134672252464078,0.418509139168647,1.4925063567495815,0.15784042472800902,0.021082253049657464,0.6545338251738138,0.6035233665317765
25_B_D_day_vi62_gate18_std438_09,results\candidates_round11_adaptive\25_B_D_day_vi62_gate18_std438_09,DN_D,day_vi_structure,0.009199626403309966,0.5862237868792287,6.915928884044947,2.519496527270062,0.040689032293245275,0.03506939198260987,17.147283612809723,0.41746252711101245,1.4852846209050452,0.157609586353584,0.020979868825875627,0.6541708532360292,0.6025975692188932
26_B_D_day_vi62_gate18_std450_10,results\candidates_round11_adaptive\26_B_D_day_vi62_gate18_std450_10,DN_D,day_vi_structure,0.009231399769784623,0.5862230390056077,6.920077042875449,2.5199702035092315,0.040754126850515604,0.03522867213694319,17.156250974005754,0.4182105641211233,1.4874224771456843,0.15811563042863722,0.02105790694001966,0.6544053772444366,0.6025970680351168
27_B_D_day_vi62_gate26_std438_11,results\candidates_round11_adaptive\27_B_D_day_vi62_gate26_std438_11,DN_D,day_vi_structure,0.009203325241043041,0.586262290190641,6.915957582195915,2.519420046142221,0.04068827363462137,0.03505589314285786,17.14719522300085,0.4175593266564031,1.4854927925163153,0.15760972527086095,0.020983520829108447,0.6542509792632955,0.6026288163091779
