candidate,path,PoolObjective,PoolPredInsertedRank,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
04_rankpoints_detail_balanced,results\candidates_round11\04_rankpoints_detail_balanced,24.242953817431538,22.46153846153846,0.022037145972091665,0.6199029445251912,7.1197227709008795,3.183031475805483,0.041792831075708234,0.08131793738713347,20.07178263044516,0.6717779142882234,1.708530705004264,0.17789173598891944,0.04968586425145757,0.6825987971437875,0.6302116516504921
03_rankpoints_detail_rank,results\candidates_round11\03_rankpoints_detail_rank,24.306125608905845,22.384615384615383,0.021875501500182255,0.6207678445002984,7.117545168270281,3.1801974639612256,0.04130624977606399,0.0778518329594805,20.10278656981744,0.6729177717239626,1.708273059091604,0.17767672232722723,0.04928600446559198,0.6845770655300027,0.6306988155571434
05_rankpoints_detail_detail,results\candidates_round11\05_rankpoints_detail_detail,24.36376317119207,22.53846153846154,0.02197570197524563,0.6195435943977543,7.117422276597317,3.188010102189108,0.0417896485937539,0.0813111210071672,20.08036347152861,0.6719820236647001,1.7083897220719255,0.1780451565019546,0.04961914859100656,0.6824444611707041,0.6294758784845708
04_rankpoints_detail_balanced,results\candidates_round10\04_rankpoints_detail_balanced,25.486520162632026,23.307692307692307,0.02179561567402655,0.6243047810868083,7.087615236239834,3.0260398126868986,0.03915078045239532,0.07873727110344717,19.139549777546865,0.6649899136635565,1.7082833166747218,0.17295931968637693,0.048889787052497115,0.6922839906427168,0.6330509451671196
17_fixed_18_source_pick_s450_balanced,results\candidates_round11\17_fixed_18_source_pick_s450_balanced,25.63160246551291,24.153846153846153,0.02264166360981362,0.6196623892534175,7.051987810219121,2.8377561584926205,0.03821122646644731,0.10133796015514,18.148192984809686,0.6486535168463184,1.7109068434416004,0.16993428506357697,0.051021784441010985,0.6922905366587383,0.6314974385608564
15_fixed_18_source_pick_s450_balanced,results\candidates_round10\15_fixed_18_source_pick_s450_balanced,25.76746707317322,24.153846153846153,0.02266858569196155,0.6210033724474543,7.050429614325504,2.820664791881576,0.03811290595362524,0.10137524273026213,18.122548081319657,0.649470365816547,1.7096893129546875,0.1694878116650607,0.05111023336940764,0.692295341321858,0.630954720881721
11_source_edge_broad_detail,results\candidates_round3\11_source_edge_broad_detail,26.524125247779608,24.615384615384617,0.023701518123108212,0.6285606546796729,7.048869524699529,2.6350487505516615,0.03733977280001367,0.13476955091520662,16.655684671979998,0.6306704535920132,1.728182914868031,0.17019882117227841,0.05381641279892667,0.6776349983548605,0.6369816341035749
16_fixed_18_source_pick_s450_detail,results\candidates_round10\16_fixed_18_source_pick_s450_detail,26.801834826226006,24.076923076923077,0.02302032318567076,0.6235242663005036,7.051260546931911,2.7202684172573353,0.03753483621904286,0.10706681562888046,17.3031324308516,0.6435578036051924,1.7202793540152754,0.1681442458623199,0.05154615694998987,0.6884557549511233,0.631301052017328
18_fixed_18_source_pick_s450_detail,results\candidates_round11\18_fixed_18_source_pick_s450_detail,26.801834826226006,24.076923076923077,0.02302032318567076,0.6235242663005036,7.051260546931911,2.7202684172573353,0.03753483621904286,0.10706681562888046,17.3031324308516,0.6435578036051924,1.7202793540152754,0.1681442458623199,0.05154615694998987,0.6884557549511233,0.631301052017328
03_rankpoints_detail_rank,results\candidates_round10\03_rankpoints_detail_rank,27.712254118696038,23.307692307692307,0.021662159191985286,0.6253800756003864,7.088940561535869,3.0232804075989,0.039062452933160206,0.07713271524777175,19.130843880771923,0.6650542116934254,1.7112378168866353,0.17290528046507989,0.04851785008822114,0.6923447768053701,0.6341309960259763
02_rankpoints_balanced_balanced,results\candidates_round11\02_rankpoints_balanced_balanced,32.36474685080259,23.23076923076923,0.02136099214355151,0.6216662962427312,7.107417464071878,3.0314335275632383,0.04062452011676605,0.07479186369586856,19.058207627928425,0.6649922449742595,1.7148544490424251,0.17509808944117639,0.04772902058954997,0.6922824871475979,0.6315520547347971
17_fixed_18_source_pick_s450_safe,results\candidates_round10\17_fixed_18_source_pick_s450_safe,34.41254094591228,24.23076923076923,0.02306396648367887,0.6205500454066468,7.056620696561624,2.7453235622385717,0.03826514251470085,0.10725333699856394,17.356793496865933,0.6455786077566045,1.7093952178058078,0.16766568994329822,0.051765801548261846,0.6883334860766447,0.6312276464864182
19_fixed_18_source_pick_s450_safe,results\candidates_round11\19_fixed_18_source_pick_s450_safe,34.41254094591228,24.23076923076923,0.02306396648367887,0.6205500454066468,7.056620696561624,2.7453235622385717,0.03826514251470085,0.10725333699856394,17.356793496865933,0.6455786077566045,1.7093952178058078,0.16766568994329822,0.051765801548261846,0.6883334860766447,0.6312276464864182
02_rankpoints_balanced_balanced,results\candidates_round10\02_rankpoints_balanced_balanced,36.90538510816888,23.692307692307693,0.021016292985007966,0.6232709686653924,7.064423271743222,2.9926651948234797,0.038277664514739185,0.06544739965309379,18.95230008029179,0.664990331216525,1.698210771059003,0.169543967291873,0.04712619084894195,0.7016515029213761,0.6317427587505201
11_project_leader_mix2,results\candidates_round7\11_project_leader_mix2,37.042842356938536,26.846153846153847,0.026324822156820245,0.5890832260711032,6.992466877030266,2.810324647370354,0.04183951302954767,0.17929202959101687,17.796795096278633,0.6016409887421516,1.641497632168194,0.16974120250632685,0.059990234920721947,0.6642623618245125,0.6104715596612683
10_project_leader_mix1,results\candidates_round7\10_project_leader_mix1,39.26154100172333,25.846153846153847,0.02619170201241329,0.6002896625946615,7.004122454569947,2.7130805567613323,0.040386954786240936,0.1778258128912859,17.495123878789983,0.6071239152262288,1.6635123475937204,0.167839974084849,0.059041213397159224,0.6662077524809427,0.6174920661052182
01_rankpoints_balanced_rank,results\candidates_round11\01_rankpoints_balanced_rank,44.06948732389549,23.846153846153847,0.02071239433742018,0.6263153268329766,7.057623897126079,2.978943314603154,0.03822395646123476,0.061499242856097154,18.894460663105697,0.6650336355932297,1.70073855839632,0.16819720218578973,0.04612619916319195,0.7018836727065425,0.6357828954870853
